ensembl_gene_id	percentage_gene_gc_content
ENSG00000000003.14	0.416538037486218
ENSG00000000005.5	0.424844720496894
ENSG00000000419.12	0.397680198840099
ENSG00000000457.13	0.413773064070899
ENSG00000000460.16	0.429864253393665
ENSG00000000938.12	0.573114565342545
ENSG00000000971.15	0.361448741559239
ENSG00000001036.13	0.434300035803795
ENSG00000001084.12	0.444598658339116
ENSG00000001167.14	0.450013119916033
ENSG00000001460.17	0.497121372341675
ENSG00000001461.16	0.469162058698426
ENSG00000001497.16	0.514582215065307
ENSG00000001561.6	0.344442055471942
ENSG00000001617.11	0.628056361375881
ENSG00000001626.15	0.408862249812694
ENSG00000001629.9	0.409396914446003
ENSG00000001630.16	0.416852678571429
ENSG00000001631.15	0.378949065119278
ENSG00000002016.17	0.506682577565633
ENSG00000002079.14	0.535436816235928
ENSG00000002330.13	0.646955503512881
ENSG00000002549.12	0.449405548216645
ENSG00000002586.19	0.502239413680782
ENSG00000002586.19_PAR_Y	0.502239413680782
ENSG00000002587.9	0.477712466323782
ENSG00000002726.20	0.586558577405858
ENSG00000002745.12	0.418889911070224
ENSG00000002746.14	0.477837450769782
ENSG00000002822.15	0.607330567081604
ENSG00000002834.17	0.573573148279281
ENSG00000002919.14	0.507487520798669
ENSG00000002933.8	0.576027594136246
ENSG00000003056.7	0.459888800635425
ENSG00000003096.14	0.38937419447229
ENSG00000003137.8	0.571286141575274
ENSG00000003147.18	0.466980167654876
ENSG00000003249.13	0.615946566478814
ENSG00000003393.14	0.416120955315871
ENSG00000003400.14	0.462226901816267
ENSG00000003402.19	0.460073682808824
ENSG00000003436.15	0.395253542769336
ENSG00000003509.15	0.422076143522323
ENSG00000003756.16	0.439621913580247
ENSG00000003987.13	0.418130709768096
ENSG00000003989.17	0.416192283364959
ENSG00000004059.10	0.599679315873864
ENSG00000004139.13	0.555625392834695
ENSG00000004142.11	0.56011315417256
ENSG00000004399.12	0.611624563565414
ENSG00000004455.16	0.449624585297713
ENSG00000004468.12	0.425674690007294
ENSG00000004478.7	0.525868725868726
ENSG00000004487.16	0.466727941176471
ENSG00000004534.14	0.469597370583402
ENSG00000004660.14	0.574757543103448
ENSG00000004700.15	0.376654314452091
ENSG00000004766.16	0.35649262320812
ENSG00000004776.12	0.631609529343405
ENSG00000004777.18	0.646768060836502
ENSG00000004779.9	0.48125
ENSG00000004799.7	0.379730028767426
ENSG00000004809.13	0.456104427949834
ENSG00000004838.13	0.584933898727862
ENSG00000004846.16	0.408015555795614
ENSG00000004848.7	0.623829512431385
ENSG00000004864.13	0.440970350404313
ENSG00000004866.20	0.450756452091368
ENSG00000004897.11	0.376025791324736
ENSG00000004939.14	0.564132553606238
ENSG00000004948.14	0.41258575822096
ENSG00000004961.14	0.427408993576017
ENSG00000004975.11	0.58785046728972
ENSG00000005001.9	0.62379555927943
ENSG00000005007.12	0.596162790697674
ENSG00000005020.12	0.400724637681159
ENSG00000005022.5	0.498
ENSG00000005059.15	0.39736399326977
ENSG00000005073.5	0.550498482878197
ENSG00000005075.15	0.588191881918819
ENSG00000005100.12	0.488589918256131
ENSG00000005102.12	0.526413003324714
ENSG00000005108.15	0.425656510202214
ENSG00000005156.11	0.498955027478907
ENSG00000005175.9	0.359041070433005
ENSG00000005187.11	0.422654052671951
ENSG00000005189.19	0.463782207097715
ENSG00000005194.14	0.477913935594186
ENSG00000005206.16	0.640813464235624
ENSG00000005238.19	0.562334217506631
ENSG00000005243.9	0.542949756888169
ENSG00000005249.12	0.400416859657249
ENSG00000005302.18	0.443456032719836
ENSG00000005339.14	0.53150012909889
ENSG00000005379.16	0.606041923551171
ENSG00000005381.7	0.588201928530913
ENSG00000005421.8	0.424081920903955
ENSG00000005436.13	0.373650503202196
ENSG00000005448.16	0.563986013986014
ENSG00000005469.11	0.366740309299056
ENSG00000005471.17	0.429144558043225
ENSG00000005483.20	0.411114722131947
ENSG00000005486.16	0.577632117984433
ENSG00000005513.9	0.649593862815884
ENSG00000005700.14	0.368034854391195
ENSG00000005801.17	0.386730424387328
ENSG00000005810.17	0.43969896519285
ENSG00000005812.10	0.388873199661113
ENSG00000005844.17	0.55655129789864
ENSG00000005882.11	0.58128078817734
ENSG00000005884.17	0.574372577025097
ENSG00000005889.15	0.421268119951311
ENSG00000005893.15	0.365906623235613
ENSG00000005961.18	0.605836786164655
ENSG00000005981.12	0.41672095548317
ENSG00000006007.11	0.451539855072464
ENSG00000006015.17	0.596439169139466
ENSG00000006016.10	0.623923127899271
ENSG00000006025.11	0.597839318320146
ENSG00000006042.11	0.499325236167341
ENSG00000006047.12	0.586184495452577
ENSG00000006059.3	0.605283605283605
ENSG00000006062.15	0.59560857538036
ENSG00000006071.13	0.572847156021608
ENSG00000006116.3	0.543717616580311
ENSG00000006118.14	0.612570485490304
ENSG00000006125.17	0.462501647555028
ENSG00000006128.11	0.468220338983051
ENSG00000006194.9	0.497480201583873
ENSG00000006210.6	0.556242687614909
ENSG00000006282.20	0.61663856098932
ENSG00000006283.17	0.586672159851684
ENSG00000006327.13	0.641233766233766
ENSG00000006377.10	0.543925775587127
ENSG00000006432.15	0.520668496689811
ENSG00000006451.7	0.447203274215553
ENSG00000006453.13	0.516465193830763
ENSG00000006459.10	0.387062566277837
ENSG00000006468.13	0.387895174708819
ENSG00000006530.16	0.405525681438902
ENSG00000006534.15	0.586326592212496
